date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:49	2651/2651	---M--	200	added ('OK')	image/png	etag:%221c03f3e-a5b-54d4b10aec6c9%22	http://risotto.mycookroom.ru/1.0.8/assets/images/logo-light.png	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/logo-light.png	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:49	42011/42011	---MCZ	200	added ('OK')	text/html	etag:W/%221c02eaa-a41b-54d4b0f7b4fda%22	http://risotto.mycookroom.ru/1.0.8/op-index.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/op-index.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:49	44390/44390	---MCZ	200	added ('OK')	text/html	etag:W/%221c02eab-ad66-54d4b0f7f14b2%22	http://risotto.mycookroom.ru/1.0.8/op-index-2.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/op-index-2.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:50	42077/42077	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f08-a45d-54d4b0f83086a%22	http://risotto.mycookroom.ru/1.0.8/op-index-3.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/op-index-3.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:50	42060/42060	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f0b-a44c-54d4b0f86e0ca%22	http://risotto.mycookroom.ru/1.0.8/op-index-4.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/op-index-4.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:51	42116/42116	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f0c-a484-54d4b0f8af7aa%22	http://risotto.mycookroom.ru/1.0.8/op-index-5.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/op-index-5.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:51	54832/54832	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e60-d630-54d4b0f60fd92%22	http://risotto.mycookroom.ru/1.0.8/index-2.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/index-2.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:51	52509/52509	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e61-cd1d-54d4b0f64a32a%22	http://risotto.mycookroom.ru/1.0.8/index-3.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/index-3.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:52	52492/52492	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e62-cd0c-54d4b0f686bea%22	http://risotto.mycookroom.ru/1.0.8/index-4.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/index-4.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:52	52548/52548	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e65-cd44-54d4b0f6c732a%22	http://risotto.mycookroom.ru/1.0.8/index-5.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/index-5.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:52	32343/32343	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e67-7e57-54d4b0f6f518a%22	http://risotto.mycookroom.ru/1.0.8/index-winery.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/index-winery.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:53	43775/43775	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e87-aaff-54d4b0f73b68a%22	http://risotto.mycookroom.ru/1.0.8/menu.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/menu.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:53	51630/51630	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e88-c9ae-54d4b0f77bdca%22	http://risotto.mycookroom.ru/1.0.8/menu-2.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/menu-2.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:54	30579/30579	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f44-7773-54d4b0fabfcca%22	http://risotto.mycookroom.ru/1.0.8/about.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/about.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:54	29426/29426	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e5e-72f2-54d4b0f588d6a%22	http://risotto.mycookroom.ru/1.0.8/gallery.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/gallery.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:54	21232/21232	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f0d-52f0-54d4b0f8dca52%22	http://risotto.mycookroom.ru/1.0.8/page-404.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/page-404.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:54	31422/31422	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f12-7abe-54d4b0f9f2b8a%22	http://risotto.mycookroom.ru/1.0.8/shop-grid.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/shop-grid.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:55	31422/31422	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f13-7abe-54d4b0f9ff6aa%22	http://risotto.mycookroom.ru/1.0.8/shop-grid-2.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/shop-grid-2.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:55	35751/35751	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f37-8ba7-54d4b0fa5d2aa%22	http://risotto.mycookroom.ru/1.0.8/shop-product.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/shop-product.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
